index	label	sentence	pos	v_index	definition
fpb-fragment01 1346	1	I've had enough of your melodrama, Adam snarled.	VERB	7	To entangle; to complicate; to involve in knots.
ew1-fragment01 101	0	This was the essence of the problem: the press could only be managed by someone who knew their methods and who would not expect them to come round to Central Office to search for news.	VERB	23	To predict or believe that something will happen
al5-fragment03 52	0	Prime Ministers always have to consider balance in the Cabinet and at least we now have the same number of women as old Etonians in John Major's team, she said.	VERB	29	To pronounce.
a6u-fragment02 240	0	Hale's suicide became a poignant metaphor for the oppressive nature of the social values of New York and North America in general.	VERB	2	begin to be; turn into.
c8t-fragment01 49	1	Or was it that the kitchen reminded Dalgliesh of that rectory kitchen where the lonely only child had found warmth and undemanding, uncensorious companionship, been given hot dripping toast and small forbidden treats?	VERB	18	To encounter or discover by accident; to happen upon.
crs-fragment01 66	0	The specialist social worker and another under-fives worker with a personal interest in the issues undertook a supplementary review to examine resources for these children.	VERB	15	To take upon oneself; to start, to embark on .
kbd-fragment07 2452	0	He's, he, he went in last week, he went in this week and er	VERB	3	To move:
bpa-fragment14 2125	1	After they'd gone, Forster felt the silence physically settle around him.	VERB	8	To conclude or resolve :
ccw-fragment03 1687	0	I was calling Sweetman's bluff, confident he would not dare pull the trigger, and equally confident that my marine training would let me turn him into mincemeat.	VERB	10	To apply a force to  so that it comes toward the person or thing applying the force.
b1g-fragment02 878	0	In no way, however, does this invalidate the need for microscale studies for instance, while global data sets may indicate the extent of algal blooms and may suggest causes of them, only detailed study of the algae themselves can provide understanding of why the bloom is occurring.	VERB	19	To point out; to discover; to direct to a knowledge of; to show; to make known.
c8t-fragment01 44	0	To each side of the hearth was a high-backed wicker armchair in an intricate closely woven design fitted with patchwork cushions.	VERB	15	To form something by passing lengths or strands of material over and under one another.
kcv-fragment42 4412	0	No Patrick where would you would you mind to go to?	VERB	7	To bring or recall to mind; to remember; bear or keep in mind.
ac2-fragment06 1521	0	But as soon as Nate heard about the latest strike, that was it.	VERB	5	To perceive sounds through the ear.
fpb-fragment01 1218	0	Buzz returned reading a postcard.	VERB	2	To look at and interpret letters or other information that is written.
b1g-fragment02 1012	0	As a result of some 40 sub-projects involving all the Member States( and often several groups within each one), databases of topography, soils, water resources and quality, biotopes, atmospheric emissions, climate, soil erosion and administrative boundaries have been built up for the whole Community and can be interrelated; other data sets( such as land cover, derived from satellite imagery) have already been compiled for some of the Member States.	VERB	38	To form  by combining materials or parts.
a7s-fragment03 77	0	Inside The Brotherhood( Granada), produced by Claudia Milne and Martin Short, dug into the most notorious area of Masonic influence, local government.	VERB	4	To yield, make or manufacture; to generate.
a1f-fragment09 173	1	The trade union question would cease to haunt the Labour Party and while that might upset some Conservatives it would be good for the country.	VERB	15	To make  angry, distressed, or unhappy.
acj-fragment01 52	1	In 1983 the Home Secretary imposed restrictions on the release of persons serving life for murders of police- and prison-officers, terrorist killings, murder during robbery, and the sadistic or sexual murder of young children, fixing a minimum of twenty years' imprisonment for these offenders.	VERB	12	To provide a service .
kbw-fragment42 15072	0	you don't want it all, that your trouble?	VERB	2	To wish for or desire ; to feel a need or desire for; to crave or demand.
acj-fragment01 121	1	One answer sometimes given is that they are not, because a driver who overtakes on a bend, knowingly taking the risk that there is a car travelling in the opposite direction, should not be labelled a murderer if a collision and death happen to ensue.	VERB	34	To put a label  on .
ew1-fragment01 88	1	The financial mismanagement that had reigned before 1911 was ended with the employment of professional accountants.	VERB	5	To exercise sovereign power, to rule as a monarch.
kcf-fragment14 1267	0	them will come later when he got there and then you can have something else nice.	VERB	6	To obtain; to acquire.
a7y-fragment03 190	1	He is given an opportunity to do so, and if he does not, he is subject to sanctions by the court to compel him to do so.	VERB	2	To move, shift, provide something abstract or concrete to someone or something or somewhere.
a1f-fragment11 189	0	What criteria would police and immigration officials use in their search for potential terrorists on a train that they could not use at a static checkpoint or airport?	VERB	3	To enforce the law and keep order among .
al5-fragment03 30	0	Health needs to develop and alter.	VERB	1	To have an absolute requirement for.
acj-fragment01 127	0	In discussing the boundaries of murder, we are concerned with classification, not exculpation.	ADJ	8	Showing concern.
b1g-fragment02 1441	0	The most interesting are those which portray population flows as scaled ribbons on the network diagram, and evacuation shelter capacities as bar diagrams.	VERB	10	To change the size of something whilst maintaining proportion; especially to change a process in order to produce much larger amounts of the final product.
a98-fragment03 53	0	IN December, 1943, the men working feverishly to create the first American atomic bomb sent a team of spooks to Naples.	VERB	8	To bring into existence;
acj-fragment01 138	0	Admittedly, the Model Penal Code does contain a list of circumstances which may amount to extreme indifference, which assists the courts and increases the predictability of verdicts in a way that Scots law does not, but the essence of both approaches is that there is no precise way of describing those non-intentional killings which are as heinous as intentional killings.	NOUN	31	A local tax, paid originally to the lord or ruler and later to a sheriff.
b1g-fragment02 1271	0	An important finding was that many relied on their own transport and went to stay with friends and relatives some distance away, rather than relying on the 19 official evacuation reception centres.	VERB	14	To prop; support; sustain; hold up; steady.
kbw-fragment42 14958	0	You're gon na help me, you're gon na stay here I'm afraid	VERB	3	To provide assistance to .
a1p-fragment01 15	0	The specific role of bishops which is to be exercised in communion with the see of Peter in ensuring the unity and continuity of the faith is vital if we are to hand on the faith of Peter, Gregory and Augustine.	VERB	18	To make a pledge to ; to promise, guarantee ; to assure.
ab9-fragment03 797	0	The boy had been told unequivocally not to let her off the lead the riding-school only used the land by grace of its owner and it was a shooting estate but he hated keeping the dog straining at the lead and knew that she would always come to his call.	VERB	33	To continue in ; not to intermit or fall from; to uphold or maintain.
ab9-fragment03 800	0	He particularly liked this stretch; nothing but the odd tractor and the horses ever came down this embankment, and the birds were unworried by his presence.	VERB	2	To enjoy, be pleased by; favor; be in favor of.
a1h-fragment05 102	0	He anticipated some of the enthusiasms of John Cage, whom he first met in 1941.	VERB	1	To act before , especially to prevent an action.
kbw-fragment17 6029	0	all sorts of things organised	VERB	4	Standard spelling of organize.
kcc-fragment02 40	0	So I thought well in case I can't get them anywhere else the market and he said well we'll have one from here, twelve ninety nine.	VERB	2	To ponder, to go over in one's head.
al5-fragment03 20	0	Mrs Bottomley is convinced the Tory victory provides the opportunity to entrench the reforms and to give doctors, nurses and managers the confidence to make them work.	VERB	11	To dig or excavate a trench; to trench.
kbw-fragment11 4080	1	Yeah the Stratford Warriors running about every six weeks something like that.	VERB	4	To move swiftly.
fet-fragment01 165	1	Look here, there is another question that comes to mind.	VERB	0	To try to see, to pay attention to with one’s eyes.
amm-fragment02 1760	0	The sauropods have relatively long, pillar-like legs, resembling those of the elephant, the largest living land animal, and may have been well adapted for supporting the huge bulk of the animal.	VERB	7	To be like or similar to ; to represent as similar.
acj-fragment01 22	0	English law distinguishes between the offences of murder and manslaughter, as we shall see, but the two crimes do have certain common elements.	VERB	13	To perceive or detect someone or something with the eyes, or as if by sight.
c8t-fragment01 14	1	And now he was passing a second and more dilapidated pillbox and it struck him that the whole headland had the desolate look of an old battlefield, the corpses long since carted away but the air vibrating still with the gunfire of long-lost battles, while the power station loomed over it like a grandiose modern monument to the unknown dead.	VERB	13	To delete or cross out; to scratch or eliminate.
ea7-fragment03 847	1	Outside Flanders, Robert's sister's marriage to Roger of Sicily was a mark of his new position in the world; like Louis VI's sister's marriage to Bohemond of Antioch, it stretched French kinship connections into the new Norman colonies, ensuring that travellers from the homeland would find a welcome in those distant parts.	VERB	29	To lengthen by pulling.
g0l-fragment01 264	0	They prefer the ram'em and bang'em method.	VERB	1	To be in the habit of choosing something rather than something else; to favor; to like better.
crs-fragment01 80	0	Parents also wanted an increased availability of specialist therapy time, but wanted it to be used in a more flexible way.	ADJ	4	increased
kcv-fragment42 4178	0	The rose bush was not was not pruned this year so I doubt if we're going to have many flowers.	VERB	15	To move:
kbd-fragment07 2598	0	I think the young people go to it like.	VERB	5	To move:
b1g-fragment02 1093	0	Moreover, the advent of low-cost, high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power: a CD-ROM, for instance, can hold about 600 megabytes( i.e. 10&sup6; bytes), can be reproduced currently for about ̴�1 and read on a device costing about ̴�400.	VERB	28	To grasp or grip.
cb5-fragment02 3329	0	Penetrating her sleep she had heard the faint click of the door latch, and then the familiar squeak of the hinge as the door to her room slowly opened.	VERB	12	To close or lock as if with a latch.
cdb-fragment02 403	0	The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area.	VERB	4	To start, to initiate or take the first step into something.
fpb-fragment01 1208	0	At times, she was downhearted and wondered whether she would ever write another book.	VERB	4	downhearted
bpa-fragment14 2286	0	In a sense, as long as he could convince himself that she was safe, he was glad she wasn't coming with them.	VERB	8	To make someone believe, or feel sure about something, especially by using logic, argument or evidence.
ab9-fragment03 996	1	Come on Jennifer or are you going out with Michael?	VERB	0	To move from further away to nearer to.
ea7-fragment03 815	0	The divergence was sharpened by the application of a theoretical distinction, the fruit of Augustinian theology, amplified as the century went on by canon and Roman law reference; princes pronounced their campaigns just wars( fought against aggressors with the aim of re-establishing peace) or public wars( declared by a competent authority in the public interest), while they condemned the wars of lesser men as infractions of the peace.	VERB	46	To assert or announce formally, officially, explicitly, or emphatically.
ajf-fragment07 229	0	It gets worse.	VERB	1	To obtain; to acquire.
fef-fragment03 637	1	Since it is the equation formula that needs to be satisfied, we should choose the potential as a vector( called, not without logic, the vector potential), defined by the equation formula.	VERB	19	To use one's voice.
a1g-fragment27 428	0	But Nicholas's grand design collapsed in 1918 when his Serbian son-in-law, Alexander, deposed him and incorporated Montenegro into Yugoslavia.	VERB	15	To include  as a part.
kbj-fragment17 1618	0	If I give you a bit of paper and the lot, yeah well you know what to do and go to school and fill them in!	VERB	2	To move, shift, provide something abstract or concrete to someone or something or somewhere.
a1n-fragment18 338	1	Well, I seem to recall a London gallery exhibiting a pile of rubbish, which was considered valid art by the proprietors and drew a large attendance.	VERB	8	To display or show  for others to see, especially at an exhibition or contest.
fpb-fragment01 1296	0	Making sure to appear casual, he carefully watched the men in dinner jackets and the women in full-length d���collet��� dresses move slowly over the red carpet towards the restaurant at the rear, or climb the staircase to the gaming rooms.	VERB	20	To change place or posture; to go, in any manner, from one place or position to another.
clp-fragment01 809	1	Given time available to train new staff it is not necessary to keep more than a nucleus in that particular expertise.	VERB	12	To continue in ; not to intermit or fall from; to uphold or maintain.
a3p-fragment09 163	0	Today, I was told, villagers living around the great wool churches of Lavenham and Long Melford have to bar their doors and ignore the knocking of tourists, who take them for antique shops and offer to buy their furniture.	VERB	5	To be alive; to have life.
a1n-fragment18 366	1	The odds are favourable enough according to Chelsea's Mike Hazard, who said of his adversary: He could cope in Poland, not just because of his ability to close people down and use the ball well, but temperament you saw when he scored the goal that won Arsenal the League.	VERB	38	To cut  with a saw.
a1m-fragment01 17	0	The impact, according to Henning Albrechsten, president of Telecottages International who has been involved in their development since the outset, was immediate.	VERB	2	To make to agree or correspond; to suit one thing to another; to adjust.
kbd-fragment07 2516	1	see.	VERB	0	To perceive or detect someone or something with the eyes, or as if by sight.
fpb-fragment01 1139	0	Then she wept.	VERB	2	To cry; shed tears.
kbd-fragment07 2550	1	Well we used to put, I mean, I put twelve, thirteen hundred in the Sugar House.	VERB	4	To place something somewhere.
fet-fragment01 180	0	I have always looked upon you as Theo Daniel said he could not see the pain Frederica said was in the olives, and Alexander, still lecturing, said that Vincent had objected to paintings of symbolic Christs in Gethsemane by Bernard and his comp����res, had torn up his own, had made do with the olives themselves.	VERB	9	To pronounce.
kbd-fragment07 2625	0	She said oh!	VERB	1	To pronounce.
g0l-fragment01 181	1	The name Grob Mitzer mean anything?	VERB	4	To intend.
bpa-fragment14 2279	0	As they drew back up the stairs, piling on the pieces she threw up at them, Lawton sniffed.	VERB	12	To hurl; to cause an object to move rapidly through the air.
a8r-fragment02 64	1	Crucial to the development process is the relationship built up between the analyst and the user.	VERB	8	To form  by combining materials or parts.
c8t-fragment01 45	0	There was an open roll-top desk facing one of the wide windows and, to its right, a stable door, the top half open, gave a view of the paved courtyard.	VERB	6	To position oneself or itself so as to have one's face closest to .
ccw-fragment03 1607	0	Oh, lay me down, just lay me down.	VERB	1	To place down in a position of rest, or in a horizontal position.
bpa-fragment14 2310	0	Forster choked as the putrefying reek seemed to get right into him.	VERB	6	To appear; to look outwardly; to be perceived as.
b1g-fragment02 752	1	There are important differences between the chapters in this part both in the nature of the demands that they make on geographic information and also in the relative importance that is attached to geographic criteria as against other issues by planners and decision-makers in these fields.	VERB	31	To fasten, to join to .
bpa-fragment14 2062	0	That's why we've got to take risks, Nell put in.	VERB	3	To obtain; to acquire.
bpa-fragment14 2110	1	When he didn't get any response, he patted the Uzi beside him on the steel floor.	VERB	3	To obtain; to acquire.
bpa-fragment14 2134	0	Forster settled down, only putting his eye to the slit every half minute, not continually as he had started to do.	VERB	4	To place something somewhere.
b1g-fragment02 1304	0	For example, in 1692, the whole of southern England was affected by an earthquake whose epicentre was located in what is now Belgium; a good deal of minor structural damage was inflicted( Morse 1983).	VERB	31	To thrust upon; to impose.
a8n-fragment19 316	1	They held their line and competed hard in midfield, damping down Oldham's initial verve and preparing themselves for more of the same in the second half.	VERB	9	To suppress vibrations  or oscillations  by converting energy to heat .
ab9-fragment03 823	0	He was very nearly as tall as her, but she put an arm under his shoulders and supported him to the untidy room which served as the stable office, calling to one of the stable girls to take over the class.	VERB	37	To get into one's hands, possession, or control, with or without force.
acj-fragment01 73	1	Where there is no capital punishment, however, the question of how many degrees of homicide it is desirable to have calls for careful weighing of the principle of fair labelling( see Chapter 3.3( l)) against the cost and time arguments mobilised by the policy of efficient administration( see Chapter 3.3( m)).	NOUN	23	The process by which something is weighed.
a1p-fragment03 62	0	He conceded that there would be disputes with colleagues, but said: There are no quick fixes, and I will not be indulging in any quick fix.	VERB	21	: To yield to a temptation or desire.
c8t-fragment01 123	0	In contrast to his sisters, Anthony was over-clad, a bundle of leggings, jumper and a padded jacket topped with a woollen helmet with a bobble pulled well down over his forehead, beneath which he surveyed their busyness, unsmiling, like a stout imperious Caesar.	VERB	34	To inspect, or take a view of; to view with attention, as from a high place; to overlook
fet-fragment01 178	0	"He wrote to Theo,"" I hope you are not a"" Van Gogh""."	VERB	1	To form letters, words or symbols on a surface in order to communicate.
kbc-fragment13 5946	0	And he said I was completely confused and I couldn't, he said I was trying to shout my wife and erm and, er, you know my mouth wouldn't work, he said, but she said fortunately she looked through the window and er found him and they took him to hospital.	ADJ	6	unable to think clearly or understand
bpa-fragment14 2154	0	Delaney took risks, plummeting feet first through the hatchways, and partly breaking his descent with the handrails, falling like a parachutist, rolling instantly deploying his Uzi against	VERB	3	To drop swiftly, in a direct manner; to fall quickly.
cdb-fragment04 888	0	When Lewis said to come back with him and eat there Adam had got a kick on the ankle from Anne and another kick when he hadn't replied.	VERB	27	To give a written or spoken response, especially to a question, request, accusation or criticism; to answer.
c8t-fragment01 89	0	On an impulse he reversed the Jaguar and drove quickly back to Martyr's Cottage.	VERB	8	To provide an impetus for motion or other physical change, to move an object by means of the provision of force thereto.
kcv-fragment42 4504	0	We went to Floyds I think we went	VERB	5	To ponder, to go over in one's head.
a38-fragment01 3	1	FROM this month, all new cars submitted for British type approval, the test which allows them to be legally sold in the UK, must be able to run on lead-free petrol.	VERB	14	To grant, give, admit, accord, afford, or yield; to let one have.
fef-fragment03 708	0	Why is it then that we have no difficulties in practice in observing magnetic fields?	VERB	12	To notice or view, especially carefully or with attention to detail.
b1g-fragment02 1288	0	Jones et al.( 1989) have examined the distribution of some 8500 landslides in the UK.	VERB	5	to observe or inspect carefully or critically
b1g-fragment02 1217	0	In the UK( see Petts 1988 for a splendid overview) the Health and Safety Executive must be notified of sites where hazardous substances in excess of threshold limits are handled.	VERB	29	To touch; to feel or hold with the hand.
amm-fragment02 1726	0	Although much of the fine detail can be seen most of the tissue of the leaf is destroyed.	VERB	17	To damage beyond use or repair.
a1e-fragment01 12	1	We have made a bid of nearly ̴�700m for a company with a book value of ̴�200m we've acknowledged there is some extra worth there, but I can not see the sort of value they are talking about in property.	VERB	2	To create.
a3e-fragment03 55	1	It may be clipped classical, random cottage, modern high-tech, or some intensely personal vision of Byzantium, that no one has ever imagined before, but which exists in your head and wants to get out.	VERB	32	To obtain; to acquire.
kcu-fragment02 2161	0	by the time we've walked round	VERB	4	To move on the feet by alternately setting each foot  forward, with at least one foot on the ground at all times. Compare run.
fet-fragment01 147	1	"The picture was signed"" Madeleine Bernard"", and Alexander told Frederica that Gauguin had flirted seriously with that young woman, had characterised her, as was fashionable at the time, as having the desirable, unattainable androgynous perfection, complete sensuality combined with unattainable self-sufficiency."	VERB	37	To bring  together; to unite.
b1g-fragment02 1358	0	Other spatially referenced data incorporated into the system include those on the distribution of schools, medical and transport services which can be displayed and supplementary information about them obtained.	VERB	8	To bring into a group, class, set, or total as a  part or member.
clp-fragment01 814	0	Size provides a cushion to the vicissitudes of markets but it creates other problems.	VERB	11	To bring into existence;
alp-fragment01 67	1	From the description of the AEC already given the demanding and disciplined nature of the course can be appreciated.	VERB	7	To move, shift, provide something abstract or concrete to someone or something or somewhere.
a3c-fragment05 246	0	These are sensuous pleasures at their most enjoyable when we ritualise them, but how do we feel when we desire them?	VERB	19	To want; to wish for earnestly.
ab9-fragment03 933	0	It was, he felt, just too difficult to be at home at all, with Claudia in a permanently bitchy mood and both his teenage children taking their cue from her and behaving intolerably.	VERB	31	To conduct  well, or in a given way.
a1f-fragment07 155	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi-skilled jobs.	VERB	8	To cover, fill, or affect with lead
a6u-fragment02 297	1	The colonised body which Kahlo clothed in revolutionary idealism has lost its function as a symbol of nationhood becoming instead an icon of female suffering.	VERB	10	To cause  to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons.
crs-fragment01 24	1	Workers from the integrated playscheme subsequently supported a local special school in integrating under fives into a playgroup.	VERB	6	To keep from falling.
kcc-fragment02 46	0	And I went down, I went somewhere else there was a few places I saw them so erm I said to, I said to Robert now you know those shirts, that shirt I bought you for Christmas?	VERB	2	To move:
kcf-fragment14 1246	0	and go to bank and see what it would cost you for.	VERB	9	To incur a charge of; to require payment of a  price.
c8t-fragment01 115	0	She reminded him of pictures of the young Elizabeth Tudor, the same red-gold hair framing a curiously adult face both secretive and self-composed, the same sharp nose and wary eyes.	VERB	1	To cause one to experience a memory ; to bring to the notice or consideration .
as6-fragment01 9	0	Meanwhile bad housing, bad sanitation, lack of education, and other perennial ills associated with overcrowding and poverty have been routinely denounced by political leaders and social reformers.	VERB	12	To join in or form a league, union, or association.
kbd-fragment07 2266	0	Mind you, I thought oh yeah.	VERB	3	To ponder, to go over in one's head.
b1g-fragment02 1007	0	It originates from an Italian request to the Council of Ministers in 1973 to identify environmentally balanced and unbalanced areas in the Community; the first attempts to do this were unsuccessful and, though by 1981 it was clear that a new approach based on an environmental information system was the most promising one, funding for this was not secured until 1985.	VERB	58	To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect.
kbw-fragment42 14922	0	No they've got half a whole	VERB	2	To obtain; to acquire.
ac2-fragment06 1352	0	It's just that there really is trouble at t'mill, she said quietly.	VERB	10	To pronounce.
kbw-fragment17 6110	0	and some sit in, you know, it's locked.	VERB	5	To perceive the truth or factuality of; to be certain of or that.
a3k-fragment11 114	0	First, they have to sell their present house, a two-bedroom cottage in the centre of the town.	VERB	4	To transfer goods or provide services in exchange for money.
kbw-fragment04 2459	0	It will be dead by now.	ADJ	3	No longer living.
ahf-fragment63 1206	1	Ninety per cent of his party's cash comes from the unions, which will expect a return.	VERB	13	To predict or believe that something will happen
amm-fragment02 1669	0	Canals within the algae stand out as rods in this kind of preservation, which is common in Ordovician rocks.	VERB	4	To position or be positioned physically.
fef-fragment03 712	0	In contrast to our previous example we shall now investigate a cylindrical beam consisting of two kinds of charge carriers: negative electrons and some positive particles, which I do not wish to be more precise about at the moment.	VERB	13	To be comprised or contained.
a80-fragment15 279	1	Ulster, the provincial champions, may well fancy their chances on November 21, but Leinster look certain to face an uphill struggle even though the tourists have rested 13 of the team that beat Wales.	VERB	17	To position oneself or itself so as to have one's face closest to .
kbw-fragment17 6195	0	But, if you can you know agree to tell him	VERB	6	To be in harmony about an opinion, statement, or action; to have a consistent idea between two or more people.
kcv-fragment42 4628	0	Oh you had better stop	VERB	4	To cease moving.
fet-fragment01 76	0	Daniel bought a ticket, and paid for the hire of a catalogue, he wasn't sure why.	VERB	5	To give money or other compensation to in exchange for goods or services.
a1p-fragment01 17	0	In a statement afterwards Dr Runcie stressed that he was not proposing any change in the British constitution.	VERB	11	To suggest a plan, course of action, etc.
kbd-fragment07 2624	0	So I said, twentieth of March.	VERB	2	To pronounce.
b1g-fragment02 1178	0	Some researchers suggest that hazards( and emergencies that might result) can be regarded as either natural or technological.	VERB	2	To imply but stop short of explicitly stating .
ccw-fragment03 1667	0	Get off the boat, I said.	VERB	0	To obtain; to acquire.
cdb-fragment04 871	0	The passages it cancelled had, in any case, as in certain programmes, not been lost but stored on some limbo disc from whence they must now be retrieved.	VERB	3	To cross out something with lines etc.
a2d-fragment05 60	0	Lonesome Dove, a five-part story of a Texas-to-Montana cattle drive, also shown on CBS last year, was the best-watched TV mini-series of any kind in America for five years.	VERB	11	To display, to have somebody see .
ab9-fragment03 1001	0	Giles rang up, his daughter volunteered, and he was uncomfortably reminded by something in her voice that Giles Hawick was one of the men Jennifer hadn't been able to hang on to or not once he had seen Angela.	VERB	1	To enclose or surround.
amm-fragment02 1747	0	Because we do not have the legs preserved, it is not possible to see how the mouth appendages functioned in feeding, and neither are the stomach contents preserved.	VERB	18	To have a function.
c8t-fragment01 121	1	Dalgliesh found himself wondering if it had been brought back from a school trip to the capital.	VERB	1	To encounter or discover by accident; to happen upon.
ab9-fragment03 796	0	Way you go, Patty, he said softly, and the dog was off, hurling herself along the embankment, all paws and flying ears, after a rabbit who had been sitting in a patch of sun but disappeared with contemptuous ease as she came close.	VERB	2	To move:
kbd-fragment07 2710	0	photographing who comes in.	VERB	2	To move from further away to nearer to.
ab9-fragment03 887	0	He posted the detective constable he had with him back down the path to join his colleague, armed with instructions to repel all attempts by anyone, however senior or armed with whatever authority, to go anywhere near the body unless he, Sergeant Black, personally accompanied them.	VERB	34	To move:
kbc-fragment13 5955	0	He can be talking, say about a well, you know, about any er, about say a, a video recorder or something like that	VERB	3	To communicate, usually by means of speech.
kbp-fragment09 3874	0	If you fancy viewing any of them just give us a call.	VERB	3	To look at.
a1n-fragment09 209	1	As if 24-17 and derisive chants of Easy, easy were not bad enough, this humiliation was against a side who have made a wretched start to the season a week earlier Pontypool had given them a 35-6 going-over and were short of at least half-a-dozen first-choice players.	VERB	21	To create.
b1g-fragment02 964	0	The objectives of the new agency would be to assist the Community and the Member States to achieve the goals set out in the Treaty of Rome and in successive environmental action programmes; it must also, however, be seen in the context of the European Council's adoption on 2 December 1988 of the Rhodes Declaration on the Environment and the environment chapter in the Single European Act which comes into effect in 1992.	VERB	9	To help.
kcu-fragment02 1791	0	She didn't hear us!	VERB	2	To perceive sounds through the ear.
ab9-fragment03 981	1	Penny, sounding childishly, sullenly determined, broke into her mother's thoughts.	VERB	4	To set the boundaries or limits of.
al0-fragment06 178	1	CHARITY is a divine attribute, but we are enjoined to give forgetfully lest we fall into the absurd error of mistaking ourselves for gods.	VERB	14	To be moved downwards.
a98-fragment03 66	0	He then ordered a car to call for him the next morning for a similar occasion and was felled by a stroke while waiting for the lift.	VERB	23	To delay movement or action until the arrival or occurrence of; to await.
ab9-fragment03 860	0	He had seen her weep before but only for a sick horse, and he was awe-struck.	VERB	2	To perceive or detect someone or something with the eyes, or as if by sight.
g0l-fragment01 228	0	Can you tell us the names of some of these Lucy Ghosts? cut in the DDI.	VERB	2	To narrate.
a1n-fragment18 366	0	The odds are favourable enough according to Chelsea's Mike Hazard, who said of his adversary: He could cope in Poland, not just because of his ability to close people down and use the ball well, but temperament you saw when he scored the goal that won Arsenal the League.	VERB	17	To deal effectively with something, especially if difficult.
kbw-fragment17 6267	0	She's sort of got with children then because this erm testing, they've got to a school work outside	VERB	3	To obtain; to acquire.
a1x-fragment03 160	1	Three are prostitutes introduced to the drug by pimps.	VERB	3	To cause  to be acquainted .
a1l-fragment01 51	0	Their books are full of female breadwinners and New Men changing nappies and comforting bawling babies in the small hours.	VERB	10	To become something different.
kcu-fragment02 2015	0	if I give you that four.	VERB	2	To move, shift, provide something abstract or concrete to someone or something or somewhere.
as6-fragment01 88	1	Neither, at first, did the incoming administration foresee the impact of rising unemployment, which was to be especially serious among the urban young.	VERB	11	To move, or appear to move, physically upwards relative to the ground.
ea7-fragment03 871	0	The crowds of Burgundians who accompanied the king learned to respect him; on their return, they sought the arbitration of the royal court in their disputes, and they welcomed Louis's intervention within the counties that fringed the duchy of Burgundy.	VERB	35	To decorate with fringe.
fpb-fragment01 1082	0	Can you imagine a woman trying to get two men into bed so she could watch them?	VERB	5	To attempt; to endeavour. Followed by infinitive.
kbd-fragment07 2614	0	Well they're not all those appearances are P A, it's all gon na be mimed and backing tapes.	VERB	14	To mimic.
as6-fragment02 440	1	He drew the conclusion from this that the riot came like a bolt out of the blue( Guardian, 21 November 1985).	VERB	9	To move from further away to nearer to.
ajf-fragment07 199	0	Amiel is the first reputable dealer to be prosecuted, but more than 100 others as well as auction houses across America are now under subpoena to explain what they thought they were selling.	VERB	8	To start criminal proceedings against.
as6-fragment02 410	1	Let there be no doubt, these young criminals are not in any way representative of the vast majority of the Afro-Caribbean community whose life has contributed to the life and culture of the West Midlands over many years and whose hopes and aspirations are at one with those of every other law-abiding citizen.	VERB	0	To allow to, not to prevent .
kbc-fragment13 5955	0	He can be talking, say about a well, you know, about any er, about say a, a video recorder or something like that	VERB	4	To pronounce.
fpb-fragment01 1209	0	When you want to write, you'll write, Buzz would tell her then.	VERB	4	To form letters, words or symbols on a surface in order to communicate.
kcu-fragment02 2079	0	I said I got ta be bloody sober!	VERB	1	To pronounce.
a1k-fragment02 69	0	Not sure of the music policy, but the name sounds like the ingredients of a takeaway from a less salubrious Chinese.	VERB	9	To produce a sound.
fet-fragment01 163	1	As for me, I tell you as a friend, I feel impotent when confronted with such nature, for my Northern brains were oppressed by a nightmare in those peaceful spots as I felt one ought to do better things with the foliage.	VERB	32	To make into felt, or a feltlike substance; to cause to adhere and mat together.
cb5-fragment02 3248	0	We're going home, she sobbed.	VERB	4	to weep with convulsive gasps.
g0l-fragment01 318	1	Here's us, heading for trouble and God knows what else, and in the middle of you talking about Nordhausen, I start thinking of Peter.	VERB	2	To be in command of.
fpb-fragment01 1149	0	I'm going to learn to fly.	VERB	1	To move:
kcu-fragment02 1686	0	No it isn't granddad.	ADJ	3	granddad
kbp-fragment09 3739	0	Should have come here what	VERB	2	To move from further away to nearer to.
a1x-fragment05 180	0	Dr Slevin agreed that this is often beneficial, but is concerned about other aspects of such therapies.	ADJ	10	Showing concern.
b1g-fragment02 1382	0	Abroad, Kaspar( 1981) has discussed a computer-based exercise, with GIS overtones, involving the simulated evacuation of the population living in the vicinity of the Neckarwestheim nuclear power plant in Baden W��_rttemberg.	VERB	11	To comprise or include; to have as a related part.
kbp-fragment09 4043	0	expensive business for her, phoning from Manchester,.	VERB	4	To call  using a telephone.
cdb-fragment02 469	1	They must have gone a good two miles before they met another car.	VERB	10	To make contact  while in proximity.
b1g-fragment02 1254	0	The very narrow emergency planning zones contrast with those in the USA( Collins 1981), where planning is required up to 16 km from the site to cover exposure to radiation plumes.	VERB	6	To set in opposition in order to show the difference or differences between.
b1g-fragment02 1336	0	Other health concerns which might merit attention by those involved in the Regional Research Laboratory( RRL) initiative include air and water pollution.	VERB	5	To deserve, to earn.
amm-fragment02 1635	0	Giant-eyed Ordovician trilobite, seen from the top and side.	VERB	3	To perceive or detect someone or something with the eyes, or as if by sight.
